Brend,Cena,Godiste,Gorivo,Karoserija,Kilometraza,Kubikaza,Model,Snaga
ALFA ROMEO,1450,2004,Benzin ,Hecbek ,208450,1900,147,116
ALFA ROMEO,1150,2002,Dizel ,Hecbek ,230000,1900,147,116
ALFA ROMEO,2000,2005,Benzin ,Hecbek ,220000,1598,147,120
ALFA ROMEO,3100,2006,Dizel ,Hecbek ,256134,1910,147,120
ALFA ROMEO,1850,2002,Dizel ,Hecbek ,240000,1900,147,116
ALFA ROMEO,1200,2001,Benzin + Gas (TNG) ,Hecbek ,211701,1600,147,120
ALFA ROMEO,1900,2002,Dizel ,Hecbek ,286000,1900,147,120
ALFA ROMEO,2590,2006,Dizel ,Hecbek ,332290,1910,147,150
ALFA ROMEO,2150,2007,Dizel ,Hecbek ,180000,1900,147,120
ALFA ROMEO,1950,2005,Dizel ,Hecbek ,187000,1900,147,117
ALFA ROMEO,900,2003,Dizel ,Hecbek ,200000,1910,147,116
ALFA ROMEO,1450,2001,Benzin + Gas (TNG) ,Hecbek ,189000,1600,147,105
ALFA ROMEO,1100,2002,Dizel ,Hecbek ,270000,1900,147,116
ALFA ROMEO,1450,2003,Dizel ,Hecbek ,200000,1900,147,117
ALFA ROMEO,2390,2005,Dizel ,Hecbek ,206450,1898,147,116
ALFA ROMEO,1100,2002,Benzin + Gas (TNG) ,Hecbek ,214000,1970,147,150
ALFA ROMEO,2000,2006,Benzin ,Hecbek ,160000,1600,147,105
ALFA ROMEO,2650,2007,Dizel ,Hecbek ,300000,1900,147,120
ALFA ROMEO,2850,2008,Dizel ,Hecbek ,213685,1900,147,120
ALFA ROMEO,1300,2002,Benzin + Gas (TNG) ,Hecbek ,252000,1600,147,120
ALFA ROMEO,1100,2002,Benzin ,Hecbek ,198500,1600,147,120
ALFA ROMEO,1500,2002,Benzin ,Hecbek ,128000,1600,147,105
ALFA ROMEO,2500,2004,Dizel ,Hecbek ,257000,1910,147,114
ALFA ROMEO,1299,2003,Dizel ,Hecbek ,200000,1900,147,139
ALFA ROMEO,2399,2006,Dizel ,Hecbek ,160000,1910,147,120
ALFA ROMEO,2499,2009,Dizel ,Hecbek ,222000,1910,147,120
ALFA ROMEO,1000,2001,Benzin ,Hecbek ,211000,1600,147,120
ALFA ROMEO,1800,2002,Benzin ,Hecbek ,216000,1600,147,105
ALFA ROMEO,1300,2002,Dizel ,Hecbek ,321000,1900,147,116
ALFA ROMEO,2500,2006,Benzin ,Limuzina ,138858,1598,147,105
ALFA ROMEO,1180,2003,Benzin ,Hecbek ,221000,1574,147,120
ALFA ROMEO,2200,2006,Dizel ,Hecbek ,175000,1910,147,120
ALFA ROMEO,2550,2007,Benzin ,Hecbek ,146000,1600,147,105
ALFA ROMEO,3250,2007,Dizel ,Hecbek ,203256,1900,147,150
ALFA ROMEO,799,2000,Benzin ,Hecbek ,200000,1589,147,120
ALFA ROMEO,1350,2001,Benzin + Gas (TNG) ,Hecbek ,270000,1589,147,105
ALFA ROMEO,1100,2001,Benzin ,Hecbek ,243000,1599,147,120
ALFA ROMEO,1000,2001,Benzin + Gas (TNG) ,Hecbek ,225000,1600,147,150
ALFA ROMEO,1750,2002,Dizel ,Hecbek ,206900,1900,147,116
ALFA ROMEO,800,2002,Benzin ,Hecbek ,220451,1600,147,105
ALFA ROMEO,2000,2004,Dizel ,Hecbek ,235000,1900,147,116
ALFA ROMEO,2000,2007,Benzin ,Hecbek ,235000,1600,147,136
ALFA ROMEO,1800,2004,Dizel ,Hecbek ,248000,1900,147,116
ALFA ROMEO,2500,2003,Benzin ,Hecbek ,198000,1598,147,105
ALFA ROMEO,1850,2002,Benzin ,Hecbek ,185643,1600,147,125
ALFA ROMEO,2550,2007,Dizel ,Hecbek ,194000,1900,147,120
ALFA ROMEO,1990,2000,Benzin ,Hecbek ,148000,1598,147,120
ALFA ROMEO,2000,2004,Dizel ,Hecbek ,274766,1910,147,140
ALFA ROMEO,3580,2008,Benzin + Gas (TNG) ,Hecbek ,208105,1600,147,105
ALFA ROMEO,1699,2001,Benzin ,Limuzina ,189000,1600,147,120
ALFA ROMEO,2399,2006,Dizel ,Hecbek ,177212,1910,147,150
ALFA ROMEO,2199,2006,Benzin ,Hecbek ,240375,1600,147,120
ALFA ROMEO,600,2002,Benzin + Gas (TNG) ,Hecbek ,200000,1600,147,120
ALFA ROMEO,2230,2006,Benzin + Gas (TNG) ,Kupe ,210008,1699,147,105
ALFA ROMEO,1350,2003,Dizel ,Hecbek ,25000,1945,147,136
ALFA ROMEO,1650,2001,Dizel ,Limuzina ,178496,1910,147,116
ALFA ROMEO,900,2000,Benzin ,Hecbek ,170800,1598,147,105
